soil_moisture,temperature,humidity,rainfall,irrigation_level
37.45,24.95,75.7,63.81,1
95.07,23.32,26.61,45.93,1
73.2,17.05,41.2,96.45,1
59.87,34.29,69.7,21.9,1
15.6,29.06,53.39,58.79,2
15.6,44.63,76.47,70.02,2
5.81,11.28,96.51,82.56,1
86.62,35.75,20.49,40.7,1
60.11,40.52,73.86,68.69,1
70.81,40.38,30.73,30.32,2
2.06,45.44,47.3,43.55,3
96.99,39.16,12.96,89.56,1
83.24,47.11,22.23,94.99,1
21.23,23.31,38.78,71.88,2
18.18,30.13,40.78,37.44,2
18.34,10.56,90.96,82.01,1
30.42,10.28,76.76,2.59,2
52.48,19.61,97.5,10.27,1
43.19,14.03,63.92,66.14,1
29.12,20.41,31.75,29.12,2
61.19,17.08,39.49,95.14,1
13.95,11.14,38.79,43.61,2
29.21,46.37,39.38,42.94,2
36.64,10.33,70.57,67.81,1
45.61,39.44,57.77,76.76,1
78.52,16.09,44.69,47.56,1
19.97,46.49,23.42,21.4,3
51.42,45.71,11.99,77.33,2
59.24,36.16,29.7,32.04,2
4.65,36.89,19.67,17.51,3
60.75,10.21,80.69,63.16,1
17.05,49.39,20.12,9.05,3
6.51,45.11,75.18,97.14,2
94.89,45.8,44.71,63.24,1
96.56,36.37,16.6,98.59,1
80.84,23.79,83.15,33.89,1
30.46,45.75,62.17,97.12,2
9.77,21.66,31.22,14.56,3
68.42,32.51,90.52,4.07,1
44.02,13.99,14.07,3.3,2
12.2,46.88,28.16,46.49,3
49.52,15.63,77.68,8.3,1
3.44,19.0,73.84,51.22,2
90.93,32.33,36.03,32.75,1
25.88,40.56,15.58,33.56,3
66.25,34.77,87.23,63.56,1
31.17,19.29,38.23,16.31,2
52.01,10.04,27.61,76.66,1
54.67,40.29,56.45,58.2,1
18.49,49.41,91.92,91.49,2
96.96,42.4,13.92,36.48,1
77.51,28.41,78.92,98.27,0
93.95,46.15,61.52,57.58,1
89.48,26.39,48.29,97.34,0
59.79,31.0,76.97,2.71,1
92.19,29.09,96.92,72.8,0
8.85,27.9,30.63,81.66,2
19.6,41.01,22.93,5.32,3
4.52,31.07,92.16,57.9,2
32.53,22.67,70.21,80.19,1
38.87,20.33,49.42,56.1,2
27.13,11.51,61.59,6.38,2
82.87,33.33,77.11,69.34,0
35.68,19.2,79.57,6.06,2
28.09,15.93,92.79,81.75,1
54.27,36.15,48.42,4.3,2
14.09,37.25,36.41,13.74,3
80.22,40.09,67.57,27.51,1
7.46,30.14,47.42,63.34,2
98.69,45.76,63.51,97.64,0
77.22,47.45,47.8,11.78,1
19.87,42.29,23.77,14.27,3
0.55,35.42,52.25,36.89,3
